MainAccueilTab;モデル
MainGroupFichier;ファイルの管理
MainButtonOuvertureFichier;開封
MainButtonSauvegardeFichier;保存
MainGroupBouees;モデル管理
MainButtonNouveauBouee;新規
MainButtonModifierBouee;修正
MainButtonCopierBouee;コピー
MainButtonSupprimerBouee;削除
MainGroupTri;条件は
MainComboBoxListeTri;{名前、容積}|1
MainButtonTriListeBoueeCroissant;昇順
MainButtonTriListeBoueeDecroissant;降順
MainCalculTab;算定パラメ-タ
MainButtonCalcul;算定
MainButtonNoLoad;無負荷
MainButtonCurrent;流れ
MainButtonVent;風
MainButtonHoule;波
MainButtonFullLoad;全負荷
MainButtonCalculHydro;水力計算
MainLangueTab;言語
MainGroupLangue;言語選択
MainButtonLangueFr;フランス語
MainButtonLangueEn;英語
MainButtonLangueEs;スペイン語
MainTextBlockSelectionChaine;チェ-ンの選択
MainTextBlockParamCalculDN;ND
MainTextBlockParamCalculType;タイプ
MainTextBlockParamCalculQualite;クオリティ
MainTextBlockParamCalculLest;バラスト
MainTextBlockParamCalculMasseEquipement;機器質量
MainRadioButtonMasseEquipement;kg
MainButtonListEquipement;...
MainTextBlockParamCalculProfondeur;水深
MainRadioButtonProfondeur;m
MainTextBlockParamCalculMarnage;干満差
MainRadioButtonMarnage;m
MainTextBlockParamCalculHouleMax;最大波高
MainRadioButtonHouleMax;m
MainTextBlockParamCalculHouleSignificative;有義波高
MainRadioButtonHouleSignificative;m
MainTextBlockParamCalculPeriodeHoule;周波数
MainRadioButtonPeriodeHoule;秒
MainTextBlockParamCalculVitesseCourant;流速
MainRadioButtonVitesseCourantMS;m/s
MainRadioButtonVitesseCourantKts;kn
MainTextBlockParamCalculVitesseVent;風速
MainRadioButtonVitesseVentMS;m/s
MainRadioButtonVitesseVentKmh;km/h
MainTextBlockParamCalculSelectionDensiteCM;錘選択
MainComboBoxDensiteCM;{2.4 (標準鉄筋コンクリ-ト)、2.8 (重鉄筋コンクリ-ト)、3.0 (ヘマタイト鉄筋コンクリ-ト)、7.3 (鋳鉄)、7.85 (鋼鉄)}|1
MainTextBlockAideLigne1;左スクリーンにあるリストからモデル編集、あるいは計算へ切替
MainTextBlockAideLigne2;開封アイコンをクリックしワークリストへモデル追加
MainTextBlockAideLigne3;変更アイコンをクリックし選択モデルを変更
MainTextBlockAideLigne4;算定パラメ-タアイコンをクリックし選択モデルの係留ライン計算
MainTextBlockAideLigne5;マニュアルとテクニカルリファレンス
ManagerBuoyGeneralTab;一般
ManagerBuoyRibbonGroupSaveBuoy;保存管理
ManagerBuoyButtonSauvegardeBouee;保存
ManagerBuoyRibbonGroupMoveFloatOnStructure;尾筒沿いに浮体をシフト
ManagerBuoyButtonDeplacerFlotteurAuDessus;上方移行
ManagerBuoyButtonDeplacerFlotteurAuDessous;下方移行
ManagerBuoyTextBlockPasDeplacement;シフトステップ(m)
ManagerBuoyFlotteurTab;浮体
ManagerBuoyRibbonGroupFlotteurFonctionElement;選択スライスへのアクション
ManagerBuoyButtonNouveauFlotteur;新スライス
ManagerBuoyButtonAjouterFlotteur;追加
ManagerBuoyButtonModificationFlotteur;修正
ManagerBuoyButtonSupprimerFlotteur;削除
ManagerBuoyButtonFlotteurDeplacerElementAuDessus;上方移行
ManagerBuoyButtonFlotteurDeplacerElementAuDessous;下方移行
ManagerBuoyStructureTab;尾筒
ManagerBuoyRibbonGroupStructureFonctionElement;選択スライスへのアクション
ManagerBuoyButtonNouveauStructure;新スライス
ManagerBuoyButtonAjouterStructure;追加
ManagerBuoyButtonModificationStructure;修正
ManagerBuoyButtonSupprimerStructure;削除
ManagerBuoyButtonStructureDeplacerElementAuDessus;上方移行
ManagerBuoyButtonStructureDeplacerElementAuDessous;下方移行
ManagerBuoyPyloneTab;マスト
ManagerBuoyRibbonGroupPyloneFonctionElement;選択要因へのアクション
ManagerBuoyButtonNouveauPylone;新規
ManagerBuoyButtonAjouterPylone;追加
ManagerBuoyButtonModificationPylone;修正
ManagerBuoyButtonSupprimerPylone;削除
ManagerBuoyButtonPyloneDeplacerElementAuDessus;上方移行
ManagerBuoyButtonPyloneDeplacerElementAuDessous;下方移行
ManagerBuoyVoyantTab;トップマ-ク
ManagerBuoyRibbonGroupVoyantFonctionElement;選択要因へのアクション
ManagerBuoyButtonNouveauVoyant;新規
ManagerBuoyButtonAjouterVoyant;追加
ManagerBuoyButtonModificationVoyant;修正
ManagerBuoyButtonSupprimerVoyant;削除
ManagerBuoyButtonVoyantDeplacerElementAuDessus;上方移行
ManagerBuoyButtonVoyantDeplacerElementAuDessous;加工移行
ManagerBuoyTextBlockVisualisationGraphique;図表示
ManagerBuoyTextBlockParamGenBouee;一般パラメ-タ
ManagerBuoyTextBlockNomBouee;名前
ManagerBuoyTextBlockChaineComp;適合チェ-ン
ManagerBuoyTextBlockChaineMin;最低
ManagerBuoyTextBlockChaineMax;最高
ManagerBuoyTextBlockBoueeLest;バラスト定義
ManagerBuoyTextBlockBoueeMasse;質量
ManagerBuoyTextBlockNombre;量
ManagerBuoyTextBlockNombreMin;最低
ManagerBuoyTextBlockNombreMax;最高
ManagerBuoyTextBlockFloatToStructBuoy;浮体底から尾筒までの高さ(m)
ManagerBuoyTextBlockInfoBouee;インフォメ-ション
ManagerBuoyTextBlockMasseBuoy;ブイ質量(kg)
ManagerBuoyTextBlockVolumeBuoy;トータル容積(m³)
ManagerBuoyTextBlockParamGenFlotteur;一般パラメ-タ
ManagerBuoyTextBlockNomFlotteur;浮体名
ManagerBuoyButtonCopieFlotteur;...
ManagerBuoyTextBlockMasseFloat;質量 (kg)
ManagerBuoyTextBlockInfoFlotteur;インフォメ-ション
ManagerBuoyTextBlockVolumeFloat;トｰタル容積 (m³)
ManagerBuoyTextBlockParametreElementSelectFloat;選択スライスのパラメ-タ
ManagerBuoyTextBlockFlotteurHauteur;高さ (m)
ManagerBuoyTextBlockFlotteurDiametreH;上面直径 (m)
ManagerBuoyTextBlockFlotteurDiametreI;内側直径(m)
ManagerBuoyTextBlockFlotteurDiametreB;底の直径 (m)
ManagerBuoyTextBlockFlotteurVolume;容積(m³)
ManagerBuoyTextBlockFlotteurVolumeCalcul;計算容積(m³)
ManagerBuoyTextBlockParamGenStructure;一般パラメ-タ
ManagerBuoyTextBlockNomStructure;尾筒の名称
ManagerBuoyButtonCopieStructure;...
ManagerBuoyTextBlockMasseStruct;質量 (kg)
ManagerBuoyTextBlockProfOrganeauStruct;浮体底面に位置するアンカーリングの水深(m)
ManagerBuoyTextBlockInfoStructure;インフォメ-ション
ManagerBuoyTextBlockVolumeStruct;トータル質量 (m³)
ManagerBuoyTextBlockParametreElementSelectStruct;選択スライスのパラメｰタ
ManagerBuoyTextBlockStructureHauteur;高さ (m)
ManagerBuoyTextBlockStructureDiametreH;上面直径(m)
ManagerBuoyTextBlockStructureDiametreI;内側直径 (m)
ManagerBuoyTextBlockStructureDiametreB;底の直径 (m)
ManagerBuoyTextBlockStructureVolume;質量 (m³)
ManagerBuoyTextBlockStructureVolumeCalcul;算定質量 (m³)
ManagerBuoyTextBlockParamGenPylone;マスト要素のパラメ-タ
ManagerBuoyTextBlockNomPylone;マスト要素のパラメ-タ
ManagerBuoyButtonCopiePylone;...
ManagerBuoyTextBlockMassePyl;質量 (kg)
ManagerBuoyTextBlockParametreElementSelectPyl;選択要素のパラメ-タ
ManagerBuoyTextBlockPyloneHauteur;高さ (m)
ManagerBuoyTextBlockPyloneLongueurH;上面の幅 (m)
ManagerBuoyTextBlockPyloneLongueurB;底の幅(m)
ManagerBuoyTextBlockParamGenVoyant;トップマ-ク部分のパラメータ
ManagerBuoyTextBlockNomVoyant;トップマ-ク部分名
ManagerBuoyButtonCopieVoyant;...
ManagerBuoyTextBlockMasseVoy;質量 (kg)
ManagerBuoyTextBlockParametreElementSelectVoy;選択要素のパラメ-タ
ManagerBuoyTextBlockVoyantHauteur;高さ (m)
ManagerBuoyTextBlockVoyantLongueurH;上面の幅(m)
ManagerBuoyTextBlockVoyantLongueurB;底の幅(m)
EquipTextBlockTreeViewEquipement;標準機器のリスト
EquipTextBlockListBoxEquipement;選択機器のリスト
EquipButtonAjouterEquipement;追加
EquipButtonModifierEquipement;修正
EquipButtonSupprimerEquipement;削除
EquipButtonValidationEquipement;ＯＫ
ResultRibbonTabComparateur;比較表
ResultRibbonGroupBuoy;ブイ
ResultTextBlockBouee1;ブイ 1
ResultTextBlockBouee2;ブイ 2
ResultRibbonGroupChaine;チェ-ン
ResultTextBlockDN1;ND
ResultTextBlockDN2;ND
ResultTextBlockType1;タイプ
ResultTextBlockType2;タイプ
ResultTextBlockQualite1;品質
ResultTextBlockQualite2;品質
ResultRibbonGroupLest;バラスト
ResultRibbonGroupDensiteCM;錘
ResultComboBoxDensiteCM1;{2.4 (標準鉄筋コンクリ-ト)、2.8 (重鉄筋コンクリ-ト)、3.0 (ヘマタイト鉄筋コンクリ-ト)、7.3 (鋳鉄)、7.85 (鋼鉄)}|1
ResultComboBoxDensiteCM2;{2.4 (標準鉄筋コンクリ-ト)、2.8 (重鉄筋コンクリ-ト)、3.0 (ヘマタイト鉄筋コンクリ-ト)、7.3 (鋳鉄)、7.85 (鋼鉄)}|1
ResultRibbonGroupPlus;プラス
ResultRibbonTabPrintExport;印刷とエクスポ-ト
ResultRibbonGroupTitleProject;書類タイトル
ResultRibbonGroupPrint;印刷
ResultButtonImpression;印刷
ResultRibbonGroupExport;エクスポ-ト
ResultButtonExportCSV;Txt
ResultRibbonTabView;図表示
ResultRibbonGroupView;図表示
ResultButtonVisualisation;図表
ResultTextBlockDN;ND
ResultTextBlockType;タイプ
ResultTextBlockLest;バラスト
ResultTextBlockDensite;錘
ResultTextBlockProfondeur;水深
ResultTextBlockMasseEquipement;機器質量
ResultTextBlockHtMaxVagues;最大波高
ResultTextBlockHtSignifVague;有義波高
ResultTextBlockPeriodeVague;周波数
ResultTextBlockMarnage;干満差
ResultTextBlockVitVentMS;最大風速
ResultTextBlockVitVentKMH;最大風速
ResultTextBlockVitCourantMS;最大流速
ResultTextBlockVitCourantNds;最大流速
ResultTextBlockParametreChaineCM;選択チェ-ンと錘のパラメ-タ
ResultTextBlockConditionSiteSaisi;入力サイト条件
ResultTextBlockProfondeurResultat;水深
ResultTextBlockProfMin;最小
ResultTextBlockLongueurCat;カテナリ長さ
ResultTextBlockTensionMax;最大張力
ResultTextBlockMouillage;係留
ResultTextBlockMasseMinCM;錘の最小質量
ResultTextBlockReserveFlota;ブイの予備浮力
ResultTextBlockFrancBord;ブイのフリーボード
ResultTextBlockSurfLatImme;水面下側面
ResultTextBlockProfMax;最高
ResultTextBlockRayonEvitage;最大スイング半径
ResultTextBlockCoefSecuChaine;チェ-ンの安全係数
ResultTextBlockIALACoefSecu;(IALA: ≥5\\Ce)
ResultTextBlockTraineH;水平方向引きずり
ResultTextBlockDeplTotBuoy;トータルブイ変位
ResultTextBlockTirantEau;ブイドラフト
ResultTextBlockSurfLatEme;水面上側面
ResultLinearAxisCatenaire;スイング半径 (m)
ResultLinearAxisProfondeur;水深(m)
ResultTextBlockTitleResultat;結果
ResultTextBlockTitleGraphique;カテナリの図表
ViewTextBlockTitle;フリ-ボ-ドの図表
ViewRadioButtonPIC;Apeak
ViewRadioButtonFullLoad;全負荷
ViewTextBlockBuoy1;ブイ1
ViewTextBlockBuoy2;ブイ2
GeneralTitreProjet;プロジェクト名
GeneralErreurRepertoire;ワークディレクトリへのアクセス不可
GeneralErreurAjoutBouee;ブイの追加不可エラー
GeneralErreurModifBouee;ブイの修正不可エラー
GeneralErreurSupprBouee;ブイの削除不可エラー
GeneralAjoutEquipementCategorie;機器カテゴリ
GeneralAjoutEquipementNom;機器名
GeneralAjoutEquipementMasse;機器ユニット質量(kg)
GeneralTextBlockProject;プロジェクト
GeneralTextBlockParametre;パラメ-タ
GeneralTextBlockProfondeurMax;最大水深
GeneralTextBlockProfondeurMin;最小水深
GeneralTextBlockTensionMaxMouillage;最大係留張力
GeneralTextBlockCoefSecuChaineIALA;チェ-ン安全係数(IALA: ≥5\\テスト負荷)
GeneralTextBlockDiamChaine;チェ-ン直径
GeneralTextBlockTypeChaine;チェ-ンのタイプ
GeneralTextBlockCSVPointVirg;Txt File dot-coma
GeneralTextBlockCSVVirg;Txt File coma
GeneralTextBlockCSVTab;Txt File Tabulation
InfoBulleAddBuoy;現ブイの変更しますか？
InfoBulleModifyBuoy;ブイの保存せず終了しますか？
InfoBulleCopyBuoyText;ブイの名前
InfoBulleDeleteBuoy;ブイを削除しますか？
InfoBulleErreurDeferlement;警告: 砕波
InfoBulleErreurHauteurOrg;警告: 尾筒は水深より高い
