MainAccueilTab;أنماط	
MainGroupFichier;إدارة قاعدة الملفات	
MainButtonOuvertureFichier;فتح	
MainButtonSauvegardeFichier;حفظ	
MainGroupBouees;إدارة الأنماط	
MainButtonNouveauBouee;جديد	
MainButtonModifierBouee;تعديل	
MainButtonCopierBouee;نسخ	
MainButtonSupprimerBouee;حذف	
MainGroupTri;تصنيف حسب	
MainComboBoxListeTri;{الاسم، الحجم}| 1	
MainButtonTriListeBoueeCroissant;ترتيب تصاعدي	
MainButtonTriListeBoueeDecroissant;ترتيب تنازلي	
MainCalculTab;معايير الحساب	
MainButtonCalcul;الحساب	
MainButtonNoLoad;بدون ثقل	
MainButtonCurrent;التيار	
MainButtonVent;الرياح	
MainButtonHoule;الموجة	
MainButtonFullLoad;ثقل كامل	
MainButtonCalculHydro;حساب السوائل	
MainLangueTab;اللغات	
MainGroupLangue;اختيار اللغة	
MainButtonLangueFr;الفرنسية	
MainButtonLangueEn;الانجليزية	
MainButtonLangueEs;الإسبانية	
MainButtonLangueJp;اليابانية	
MainTextBlockSelectionChaine;اختيار السلسلة	
MainTextBlockParamCalculDN;ND	
MainTextBlockParamCalculType;النوع	
MainTextBlockParamCalculQualite;الجودة	
MainTextBlockParamCalculLest;الثقل 	
MainTextBlockParamCalculMasseEquipement;كتلة المعدات	
MainRadioButtonMasseEquipement;كيلو جرام	
MainButtonListEquipement;...	
MainTextBlockParamCalculProfondeur;العمق الاسمي	
MainRadioButtonProfondeur;متر 	
MainTextBlockParamCalculMarnage;نطاق المد والجزر	
MainRadioButtonMarnage;متر	
MainTextBlockParamCalculHouleMax;أقصى ارتفاع للموجة	
MainRadioButtonHouleMax;متر	
MainTextBlockParamCalculHouleSignificative;الموجة الكبيرة	
MainRadioButtonHouleSignificative;متر	
MainTextBlockParamCalculPeriodeHoule;مدة الموجة	
MainRadioButtonPeriodeHoule;ثانية	
MainTextBlockParamCalculVitesseCourant;سرعة التيار	
MainRadioButtonVitesseCourantMS;متر/ ثانية	
MainRadioButtonVitesseCourantKts;عقدة	
MainTextBlockParamCalculVitesseVent;سرعة الرياح	
MainRadioButtonVitesseVentMS;متر/ ثانية	
MainRadioButtonVitesseVentKmh;كيلو متر/ ثانية	
MainTextBlockParamCalculSelectionDensiteCM;اختيار الثقل النوعي لوسيلة التثبيت	
MainComboBoxDensiteCM;{2.4 (خرسانة مسلحة قياسية),2.8 (خرسانة مسلحة ثقيلة),3.0 (خرسانة مسلحة بالهيماتيت),7.3 (حديد زهري),7.85 (صلب)}|1	
MainTextBlockAideLigne1;اختر نمط في القائمة الموجودة على يسار الشاشة لتعديل النمط أو تحويله إلى وضع الحساب	
MainTextBlockAideLigne2;انقر على أيقونة فتح لإضافة نموذج في قائمة العمل الخاصة بك	
MainTextBlockAideLigne3;انقر على أيقونة تعديل لتعديل النمط المختار	
MainTextBlockAideLigne4;اضغط على أيقونة معايير الحساب لحساب خط المرسى على النمط المختار	
MainTextBlockAideLigne5;الإشارة اليدوية والتقنية في 	
MainButtonSiteParametre;معيار متقدم	
ManagerBuoyGeneralTab;عام	
ManagerBuoyRibbonGroupSaveBuoy;إدارة الحفظ	
ManagerBuoyButtonSauvegardeBouee;حفظ	
ManagerBuoyRibbonGroupMoveFloatOnStructure;إزاحة الطوافة على الهيكل 	
ManagerBuoyButtonDeplacerFlotteurAuDessus;إزاحة لأعلى	
ManagerBuoyButtonDeplacerFlotteurAuDessous;إزاحة لأسفل	
ManagerBuoyTextBlockPasDeplacement;مسافة الإزاحة (متر)	
ManagerBuoyFlotteurTab;طوافة	
ManagerBuoyRibbonGroupFlotteurFonctionElement;التأثير على الشريحة المختارة	
ManagerBuoyButtonNouveauFlotteur;شريحة جديدة	
ManagerBuoyButtonAjouterFlotteur;أضف	
ManagerBuoyButtonModificationFlotteur;تعديل	
ManagerBuoyButtonSupprimerFlotteur;حذف	
ManagerBuoyButtonFlotteurDeplacerElementAuDessus;إزاحة لأعلى	
ManagerBuoyButtonFlotteurDeplacerElementAuDessous;إزاحة لأسفل	
ManagerBuoyStructureTab;الهيكل	
ManagerBuoyRibbonGroupStructureFonctionElement;الإجراء على الشريحة المختارة	
ManagerBuoyButtonNouveauStructure;شريحة جديدة	
ManagerBuoyButtonAjouterStructure;أضف	
ManagerBuoyButtonModificationStructure;تعديل 	
ManagerBuoyButtonSupprimerStructure;حذف	
ManagerBuoyButtonStructureDeplacerElementAuDessus;إزاحة لأعلى	
ManagerBuoyButtonStructureDeplacerElementAuDessous;إزاحة لأسفل	
ManagerBuoyPyloneTab;عمود	
ManagerBuoyRibbonGroupPyloneFonctionElement;الإجراء على العنصر المختار	
ManagerBuoyButtonNouveauPylone;جديد	
ManagerBuoyButtonAjouterPylone;أضف	
ManagerBuoyButtonModificationPylone;تعديل	
ManagerBuoyButtonSupprimerPylone;حذف	
ManagerBuoyButtonPyloneDeplacerElementAuDessus;إزاحة لأعلى	
ManagerBuoyButtonPyloneDeplacerElementAuDessous;إزاحة لأسفل	
ManagerBuoyVoyantTab;إشارة العوامة العلوي	
ManagerBuoyRibbonGroupVoyantFonctionElement;الإجراء على العنصر المذكور	
ManagerBuoyButtonNouveauVoyant;جديد	
ManagerBuoyButtonAjouterVoyant;أضف	
ManagerBuoyButtonModificationVoyant;تعديل	
ManagerBuoyButtonSupprimerVoyant;حذف	
ManagerBuoyButtonVoyantDeplacerElementAuDessus;إزاحة لأعلى	
ManagerBuoyButtonVoyantDeplacerElementAuDessous;إزاحة لأسفل	
ManagerBuoyTextBlockVisualisationGraphique;وحدة عرض الرسومات	
ManagerBuoyTextBlockParamGenBouee;المعايير العامة	
ManagerBuoyTextBlockNomBouee;الاسم	
ManagerBuoyTextBlockChaineComp;سلسلة متوافقة	
ManagerBuoyTextBlockChaineMin;الحد الأدنى	
ManagerBuoyTextBlockChaineMax;الحد الأقصى	
ManagerBuoyTextBlockBoueeLest;تحديد الأثقال	
ManagerBuoyTextBlockBoueeMasse;الكتلة	
ManagerBuoyTextBlockNombre;الكمية	
ManagerBuoyTextBlockNombreMin;الحد الأدنى	
ManagerBuoyTextBlockNombreMax;الحد الأقصى	
ManagerBuoyTextBlockFloatToStructBuoy;ارتفاع الطوافة فوق أدنى نقطة من الهيكل (متر)	
ManagerBuoyTextBlockInfoBouee;معلومات	
ManagerBuoyTextBlockMasseBuoy;كتلة العوامة (كيلو جرام)	
ManagerBuoyTextBlockVolumeBuoy;الحجم الكلي (متر3)	
ManagerBuoyTextBlockParamGenFlotteur;المعايير العامة	
ManagerBuoyTextBlockNomFlotteur;اسم الطوافة	
ManagerBuoyButtonCopieFlotteur;...	
ManagerBuoyTextBlockMasseFloat;الكتلة (كجم)	
ManagerBuoyTextBlockInfoFlotteur;المعلومات	
ManagerBuoyTextBlockVolumeFloat;الحجم الكلي (م3)	
ManagerBuoyTextBlockParametreElementSelectFloat;معايير الشريحة المختارة	
ManagerBuoyTextBlockFlotteurHauteur;الارتفاع (متر)	
ManagerBuoyTextBlockFlotteurDiametreH;القطر العلوي (متر)	
ManagerBuoyTextBlockFlotteurDiametreI;القطر الداخلي (متر)	
ManagerBuoyTextBlockFlotteurDiametreB;القطر السفلي (متر)	
ManagerBuoyTextBlockFlotteurVolume;الحجم الفعلي (م3)	
ManagerBuoyTextBlockFlotteurVolumeCalcul;الحجم الذي تم حسابه (م3)	
ManagerBuoyTextBlockParamGenStructure;المعايير العامة	
ManagerBuoyTextBlockNomStructure;اسم الهيكل	
ManagerBuoyButtonCopieStructure;...	
ManagerBuoyTextBlockMasseStruct;الكتلة (كيلو جرام)	
ManagerBuoyTextBlockProfOrganeauStruct;عمق حلقة الإرساء تحت قاع الطوافة (متر) 	
ManagerBuoyTextBlockInfoStructure;المعلومات	
ManagerBuoyTextBlockVolumeStruct;الحجم الكلي (م3)	
ManagerBuoyTextBlockParametreElementSelectStruct;معايير الشريحة المختارة	
ManagerBuoyTextBlockStructureHauteur;االارتفاع(متر)	
ManagerBuoyTextBlockStructureDiametreH;القطر العلوي (متر)	
ManagerBuoyTextBlockStructureDiametreI;القطر الداخلي (متر)	
ManagerBuoyTextBlockStructureDiametreB;القطر السفلي (متر)	
ManagerBuoyTextBlockStructureVolume;الحجم الفعلي (م3)	
ManagerBuoyTextBlockStructureVolumeCalcul;الحجم المحسوب (م3)	
ManagerBuoyTextBlockParamGenPylone;معايير عنصر عمود الإرشاد	
ManagerBuoyTextBlockNomPylone;معايير عنصر عمود الإرشاد	
ManagerBuoyButtonCopiePylone;...	
ManagerBuoyTextBlockMassePyl;الكتلة (كيلو جرام)	
ManagerBuoyTextBlockParametreElementSelectPyl;معايير العنصر المختار	
ManagerBuoyTextBlockPyloneHauteur;الارتفاع (متر)	
ManagerBuoyTextBlockPyloneLongueurH;العرض العلوي (متر)	
ManagerBuoyTextBlockPyloneLongueurB;العرض السفلي (متر)	
ManagerBuoyTextBlockParamGenVoyant;معايير المؤشر العلوي	
ManagerBuoyTextBlockNomVoyant;اسم عنصر المؤشر العلوي	
ManagerBuoyButtonCopieVoyant;...	
ManagerBuoyTextBlockMasseVoy;الكتلة (كيلو جرام)	
ManagerBuoyTextBlockParametreElementSelectVoy;متغيرات العنصر المختار	
ManagerBuoyTextBlockVoyantHauteur;الارتفاع (متر)	
ManagerBuoyTextBlockVoyantLongueurH;العرض العلوي (متر)	
ManagerBuoyTextBlockVoyantLongueurB;العرض السفلي (متر)	
FenetreParametreSiteTextBlockLatitude;خط العرض	
FenetreParametreSiteTextBlockLongitude;خط الطول	
FenetreParametreSiteTextBlockDensité;الثقل النوعي للماء	
FenetreParametreSiteTextBlockTrainee;معامل السحب	
FenetreParametreSiteComboBoxTrainee;{انسداد عالي = 1.4، عادي = 1.2، انسداد منخفض =0.9، عوامة جديدة للماء العذب بدون انسداد = 0.6}| 2	
FenetreParametreSiteComboBoxDensiteEau;{ماء مالح = 1.025، ماء عذب = 1.0}|1	
EquipTextBlockTreeViewEquipement;قائمة المعدات القياسية	
EquipTextBlockListBoxEquipement;قائمة المعدات المختارة	
EquipButtonAjouterEquipement;إضافة	
EquipButtonModifierEquipement;تعديل	
EquipButtonSupprimerEquipement;حذف	
EquipButtonValidationEquipement;موافق	
ResultRibbonTabComparateur;آداة مقار	
ResultRibbonGroupBuoy;عوامة 	
ResultTextBlockBouee1;عوامة  1	
ResultTextBlockBouee2;عوامة  2	
ResultRibbonGroupChaine;سلاسل	
ResultTextBlockDN1;ND	
ResultTextBlockDN2;ND	
ResultTextBlockType1;النوع	
ResultTextBlockType2;النوع	
ResultTextBlockQualite1;الجودة	
ResultTextBlockQualite2;الجودة	
ResultRibbonGroupLest;الثقل	
ResultRibbonGroupDensiteCM;الثقل النوعي لوسيلة التثبيت	
ResultComboBoxDensiteCM1;{2.4 (خرسانة مسلحة قياسية)، 2.8 (خرسانة مسلحة ثقيلة)، 3.0 (خرسانة مسلحة بالهيماتيت)، 7.3 (حديد زهر)، 7.85 (صلب)}|1	
ResultComboBoxDensiteCM2;{2.4 (خرسانة مسلحة قياسية)، 2.8 (خرسانة مسلحة ثقيلة)، 3.0 (خرسانة مسلحة بالهيماتيت)، 7.3 (حديد زهر)، 7.85 (صلب)}|1	
ResultRibbonGroupPlus;زائد	
ResultRibbonTabPrintExport;طبع وتصدير	
ResultRibbonGroupTitleProject;عنوان المستند	
ResultRibbonGroupPrint;طبع	
ResultButtonImpression;طبع	
ResultRibbonGroupExport;تصدير	
ResultButtonExportCSV;نص	
ResultRibbonTabView;عرض رسومات	
ResultRibbonGroupView;عرض رسومات	
ResultButtonVisualisation;وحدة عمودية لعرض رسومات	
ResultTextBlockDN;ND	
ResultTextBlockType;النوع	
ResultTextBlockLest;ثقل	
ResultTextBlockDensite;الثقل النوعي	
ResultTextBlockProfondeur;العمق الاسمي	
ResultTextBlockMasseEquipement;كتلة المعدات	
ResultTextBlockHtMaxVagues;أقصى ارتفاع للأمواج	
ResultTextBlockHtSignifVague;ارتفاع  الموجات الكبيرة	
ResultTextBlockPeriodeVague;مدة الموجات	
ResultTextBlockMarnage;نطاق المد والجزر	
ResultTextBlockVitVentMS;أقصى سرعة للرياح	
ResultTextBlockVitVentKMH;أقصى سرعة للرياح	
ResultTextBlockVitCourantMS;أقصى سرعة للتيارt	
ResultTextBlockVitCourantNds;أقصى سرعة للتيار	
ResultTextBlockParametreChaineCM;معايير السلسة ووسيلة التثبيت المختارتين	
ResultTextBlockConditionSiteSaisi;أوضاع موقع الإدخال	
ResultTextBlockProfondeurResultat;العمق	
ResultTextBlockProfMin;الحد الأدنى	
ResultTextBlockLongueurCat;طول المنحنى السلسلي 	
ResultTextBlockTensionMax;أقصى شد	
ResultTextBlockMouillage;الإرساء	
ResultTextBlockMasseMinCM;أدنى كتلة لوسيلة التثبيت	
ResultTextBlockReserveFlota;الطفو الاحتياطي للعوامة	
ResultTextBlockFrancBord;الجزء الظاهر من العوامة فوق الماء	
ResultTextBlockSurfLatImme;المستوى الجانبي المغمور	
ResultTextBlockProfMax;الحد الأقصى	
ResultTextBlockRayonEvitage;الحد الأقصى لنصف قطر الحركة	
ResultTextBlockCoefSecuChaine;عامل آمان السلسلة	
ResultTextBlockIALACoefSecu;(IALA: ≥5\\Ce)	
ResultTextBlockTraineH;السحب الأفقي	
ResultTextBlockDeplTotBuoy;الإزاحة الكلية للعوامة	
ResultTextBlockTirantEau;الجزء الغاطس من العوامة	
ResultTextBlockSurfLatEme;المستوى الجانبي المغمور	
ResultLinearAxisCatenaire;نصف قطر الحركة	
ResultLinearAxisProfondeur;العمق (متر)	
ResultTextBlockTitleResultat;النتائج	
ResultTextBlockTitleGraphique;وحدة عرض رسومات المنحى السلسلي	
ViewTextBlockTitle;وحدة عرض رسومات الجزء الظاهر فوق سطح الماء	
ViewRadioButtonPIC;عمودي	
ViewRadioButtonFullLoad;ثقل كامل	
ViewTextBlockBuoy1;1 عوامة	
ViewTextBlockBuoy2;2 عوامة	
GeneralTitreProjet;اسم المشروع	
GeneralErreurRepertoire;خطأ عدم إمكانية الوصول إلى دليل العمل	
GeneralErreurAjoutBouee;خطأ يتعذر إضافة العوامة	
GeneralErreurModifBouee;خطأ يتعذر تعديل العوامة	
GeneralErreurSupprBouee;خطأ يتعذر حذف العوامة	
GeneralAjoutEquipementCategorie;فئة المعدات	
GeneralAjoutEquipementNom;اسم المعدات	
GeneralAjoutEquipementMasse;وحدة كتلة المعدات (كيلو جرام)	
GeneralTextBlockProject;المشروع	
GeneralTextBlockParametre;المعايير	
GeneralTextBlockProfondeurMax;العمق الأقصى	
GeneralTextBlockProfondeurMin;العمق الأدنى	
GeneralTextBlockTensionMaxMouillage;الشد الأقصى للرسو	
GeneralTextBlockCoefSecuChaineIALA;معامل أمان السلسلة (IALA: ≥5\\اختبار الثقل)	
GeneralTextBlockDiamChaine;قطر السلسلة	
GeneralTextBlockTypeChaine;نوع السلسلة 	
GeneralTextBlockCSVPointVirg;نقطة – فاصلة الملف النصي	
GeneralTextBlockCSVVirg;فاصلة الملف النصي	
GeneralTextBlockCSVTab;جدولة ملف  نصي	
InfoBulleAddBuoy;هل ترغب في استبدال العوامة القائمة؟	
InfoBulleModifyBuoy;الخروج بدون حفظ العوامة؟	
InfoBulleCopyBuoyText;اسم العوامة	
InfoBulleDeleteBuoy;هل ترغب في حذف العوامة	
InfoBulleErreurDeferlement;تحذير: حاجز بحري	
InfoBulleErreurHauteurOrg;Warning: الهيكل أعلى من العمق	
